"item.eat"								"* 你吃了 {insert ITEM}."
"item.equip"							"* 您装备了 {insert ITEM}."
"item.heal.part"						"* 您已恢复 {insert HP} HP!"
"item.heal.all"							"* 您的 HP 已达到最大."
"item.drop.0"							"* {insert ITEM} 被扔掉了."
"item.drop.1"							"* 你悄悄告别了{insert ITEM}."
"item.drop.2"							"* 你把 {insert ITEM}&  放在了地上，然后&  给了它一顿拍打"
"item.drop.3"							"* 你把 {insert ITEM}&  当一样垃圾扔到了地上."
"item.drop.4"							"* 你放弃了 &  {insert ITEM}."
"item.stick.name"						"Stick"
"item.stick.info"						"* Stick - Weapon AT 0&* Its bark is worse than&  its bite."
"item.stick.use"						"* You threw the stick away.{sleep 20}&* Then picked it back up."

"item.bandage.name"						"Bandage"
"item.bandage.info"						"* Bandage - Heals 10 HP&* It has already been used&  several times."
"item.bandage.use.0"					"* You re-applied the bandage."
"item.bandage.use.1"					"* Still kind of gooey."

"item.toy_knife.name"					"Toy Knife"
"item.toy_knife.info"					"* Toy Knife - Weapon AT 3&* Made of plastic.&* A rarity nowadays."

"item.faded_ribbon.name"				"Faded Ribbon"
"item.faded_ribbon.name.short"			"Ribbon"
"item.faded_ribbon.info"				"* Faded Ribbon - Armor DF 3&* If you're cuter,{sleep 20} monsters&  won't hit you as hard."
